pfamnr	pfamdesc	interpronr	interprodesc
PF03862	SpoVA protein	IPR005562	NULL
PF03863	Phage maturation protein	IPR005563	NULL
PF03864	Phage major capsid protein E	IPR005564	NULL
PF03865	Haemolysin secretion/activation protein ShlB/FhaC/HecB	IPR005565	NULL
PF03866	Hydrophobic abundant protein (HAP)        	IPR005566	NULL
PF03867	Fushi tarazu (FTZ), N-terminal region	IPR005567	NULL
PF03868	Ribosomal protein L6, N-terminal domain	IPR005568	NULL
PF03869	Arc-like DNA binding domain	IPR005569	NULL
PF03870	RNA polymerase Rpb8	IPR005570	NULL
PF03871	RNA polymerase Rpb5, N-terminal domain	IPR005571	NULL
PF03872	Anti sigma-E protein RseA, N-terminal domain	IPR005572	NULL
PF03873	Anti sigma-E protein RseA, C-terminal domain	IPR005573	NULL
PF03874	RNA polymerase Rpb4	IPR005574	NULL
PF03875	Statherin	IPR005575	NULL
PF03876	SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397	IPR005576	NULL
PF03878	YIF1	IPR005578	NULL
PF03879	Cgr1 family	IPR005579	NULL
PF03880	DbpA RNA binding domain   	IPR005580	NULL
PF03881	Fructosamine kinase	IPR016477	NULL
PF03882	KicB killing factor	IPR005582	NULL
PF03883	Protein of unknown function (DUF328)	IPR005583	NULL
PF03884	Domain of unknown function (DUF329)	IPR005584	NULL
PF03885	Protein of unknown function (DUF327)	IPR005585	NULL
PF03886	Protein of unknown function (DUF330)	IPR005586	NULL
PF03887	YfbU domain	IPR005587	NULL
PF03888	MucB/RseB family	IPR005588	NULL
PF03889	Domain of unknown function	IPR005589	NULL
PF03891	Domain of unknown function (DUF333)	IPR005590	NULL
PF03892	Nitrate reductase cytochrome c-type subunit (NapB)	IPR005591	NULL
PF03893	Lipase 3 N-terminal region	IPR005592	NULL
PF03894	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase	IPR005593	NULL
PF03895	YadA-like C-terminal region	IPR005594	NULL
PF03896	Translocon-associated protein (TRAP), alpha subunit	IPR005595	NULL
PF03898	Satellite tobacco necrosis virus coat protein	IPR005597	NULL
PF03899	ATP synthase I chain	IPR005598	NULL
PF03900	Porphobilinogen deaminase, C-terminal domain	IPR022418	NULL
PF03901	Alg9-like mannosyltransferase family	IPR005599	NULL
PF03902	Gal4-like dimerisation domain	IPR005600	NULL
PF03903	Phage T4 tail fibre	IPR005601	NULL
PF03904	Domain of unknown function (DUF334)	IPR005602	NULL
PF03905	Coronavirus non-structural protein NS4	IPR005603	NULL
PF03906	Phage T7 tail fibre protein	IPR005604	NULL
PF03907	Spo7-like protein	IPR005605	NULL
PF03908	Sec20	IPR005606	NULL
PF03909	BSD domain  	IPR005607	NULL
PF03910	Adenovirus minor core protein PV	IPR005608	NULL
PF03911	Sec61beta family	IPR005609	NULL
PF03912	Psb28 protein	IPR005610	NULL
PF03913	Amb V Allergen	IPR005611	NULL
PF03914	CBF/Mak21 family	IPR005612	NULL
PF03915	Actin interacting protein 3	IPR022782	NULL
PF03916	Polysulphide reductase, NrfD	IPR005614	NULL
PF03917	Eukaryotic glutathione synthase, ATP binding domain	IPR005615	NULL
PF03918	Cytochrome C biogenesis protein	IPR005616	NULL
PF03919	mRNA capping enzyme, C-terminal domain	IPR013846	NULL
PF03920	Groucho/TLE N-terminal Q-rich domain	IPR005617	NULL
PF03921	Intercellular adhesion molecule (ICAM), N-terminal domain	IPR013768	NULL
PF03922	OmpW family	IPR005618	NULL
PF03923	Uncharacterized lipoprotein	IPR005619	NULL
PF03924	CHASE domain	IPR006189	NULL
PF03925	SeqA protein	IPR005621	NULL
PF03927	NapD protein	IPR005623	NULL
PF03928	Domain of unknown function (DUF336)	IPR005624	NULL
PF03929	PepSY-associated TM helix	IPR005625	NULL
PF03930	Recombinase Flp protein N-terminus	IPR022647	NULL
PF03931	Skp1 family, tetramerisation domain	IPR016073	NULL
PF03932	CutC family	IPR005627	NULL
PF03934	Type II secretion system (T2SS), protein K	IPR005628	NULL
PF03935	Beta-glucan synthesis-associated protein (SKN1)	IPR005629	NULL
PF03936	Terpene synthase family, metal binding domain	IPR005630	NULL
PF03937	Flavinator of succinate dehydrogenase	IPR005631	NULL
PF03938	Outer membrane protein (OmpH-like)	IPR005632	NULL
PF03939	Ribosomal protein L23, N-terminal domain	IPR005633	NULL
PF03940	Male specific sperm protein	IPR005634	NULL
PF03941	Inner centromere protein, ARK binding region	IPR005635	NULL
PF03942	DTW domain	IPR005636	NULL
PF03943	TAP C-terminal domain	IPR005637	NULL
PF03944	delta endotoxin	IPR005638	NULL
PF03945	delta endotoxin, N-terminal domain	IPR005639	NULL
PF03946	Ribosomal protein L11, N-terminal domain	IPR020784	NULL
PF03947	Ribosomal Proteins L2, C-terminal domain	IPR022669	NULL
PF03948	Ribosomal protein L9, C-terminal domain	IPR020069	NULL
PF03949	Malic enzyme, NAD binding domain	IPR012302	NULL
PF03950	tRNA synthetases class I (E and Q), anti-codon binding domain	IPR020059	NULL
PF03951	Glutamine synthetase, beta-Grasp domain	IPR008147	NULL
PF03952	Enolase, N-terminal domain	IPR020811	NULL
PF03953	Tubulin C-terminal domain	IPR018316	NULL
PF03954	Hepatic lectin, N-terminal domain	IPR005640	NULL
PF03955	Adenovirus hexon-associated protein (IX)	IPR005641	NULL
PF03956	Membrane protein of unknown function (DUF340)	IPR005642	NULL
PF03957	Jun-like transcription factor	IPR005643	NULL
PF03958	Bacterial type II/III secretion system short domain	IPR005644	NULL
PF03959	Serine hydrolase (FSH1)	IPR005645	NULL
PF03960	ArsC family	IPR006660	NULL
PF03961	Protein of unknown function (DUF342)	IPR005646	NULL
PF03962	Mnd1 family	IPR005647	NULL
PF03963	Flagellar hook capping protein - N-terminal region	IPR005648	NULL
PF03964	Chorion family 2	IPR005649	NULL
PF03965	Penicillinase repressor	IPR005650	NULL
PF03966	Trm112p-like protein	IPR005651	NULL
PF03967	Photosynthetic reaction centre, H-chain N-terminal region	IPR015810	NULL
PF03968	OstA-like protein	IPR005653	NULL
PF03969	AFG1-like ATPase	IPR005654	NULL
PF03970	Herpesvirus UL37 tegument protein	IPR005655	NULL
PF03971	Monomeric isocitrate dehydrogenase	IPR004436	NULL
PF03972	MmgE/PrpD family	IPR005656	NULL
PF03973	Triabin	IPR005657	NULL
PF03974	Ecotin	IPR023189	NULL
PF03975	CheD chemotactic sensory transduction	IPR005659	NULL
PF03976	Polyphosphate kinase 2 (PPK2)	IPR022488	NULL
PF03977	Na+-transporting oxaloacetate decarboxylase beta subunit	IPR005661	NULL
PF03978	Borrelia burgdorferi REV protein	IPR007126	NULL
PF03979	Sigma-70 factor, region 1.1	IPR007127	NULL
PF03980	Nnf1 	IPR007128	NULL
PF03981	Ubiquinol-cytochrome C chaperone 	IPR021150	NULL
PF03982	Diacylglycerol acyltransferase 	IPR007130	NULL
PF03983	SLA1 homology domain 1, SHD1 	IPR007131	NULL
PF03984	Repeat of unknown function (DUF346)  	IPR007132	NULL
PF03985	Paf1 	IPR007133	NULL
PF03986	Autophagocytosis associated protein (Atg3), N-terminal domain 	IPR007134	NULL
PF03987	Autophagocytosis associated protein, active-site domain 	IPR007135	NULL
PF03988	Repeat of Unknown Function (DUF347) 	IPR007136	NULL
PF03989	DNA gyrase C-terminal domain, beta-propeller	IPR006691	NULL
PF03990	Domain of unknown function (DUF348)     	IPR007137	NULL
PF03991	Copper binding octapeptide repeat	IPR020949	NULL
PF03992	Antibiotic biosynthesis monooxygenase	IPR007138	NULL
PF03993	Domain of Unknown Function (DUF349)	IPR007139	NULL
PF03994	Domain of Unknown Function (DUF350) 	IPR007140	NULL
PF03995	Peptidase inhibitor family I36	IPR007141	NULL
PF03996	Hemagglutinin esterase	IPR007142	NULL
PF03997	VPS28 protein	IPR007143	NULL
PF03998	Utp11 protein	IPR007144	NULL
PF03999	Microtubule associated protein (MAP65/ASE1 family)	IPR007145	NULL
PF04000	Sas10/Utp3/C1D family	IPR007146	NULL
PF04001	Transcription factor Vhr1	IPR007147	NULL
PF04002	RadC-like JAB domain	IPR025657	NULL
PF04003	Dip2/Utp12 Family	IPR007148	NULL
PF04004	Leo1-like protein	IPR007149	NULL
PF04005	Hus1-like protein	IPR007150	NULL
PF04006	Mpp10 protein	IPR007151	NULL
PF04007	Protein of unknown function (DUF354)	IPR007152	NULL
PF04008	Adenosine specific kinase	IPR007153	NULL
PF04009	Protein of unknown function (DUF356)	IPR007154	NULL
PF04010	Protein of unknown function (DUF357)	IPR023140	NULL
PF04011	LemA family	IPR007156	NULL
PF04012	PspA/IM30 family	IPR007157	NULL
PF04013	Putative SAM-dependent RNA methyltransferase	IPR007158	NULL
PF04014	Antidote-toxin recognition MazE	IPR007159	NULL
PF04015	Domain of unknown function (DUF362) 	IPR007160	NULL
PF04016	Domain of unknown function (DUF364)	IPR007161	NULL
PF04017	Domain of unknown function (DUF366)	IPR007162	NULL
PF04018	Domain of unknown function (DUF368)	IPR007163	NULL
PF04019	Protein of unknown function (DUF359)	IPR007164	NULL
PF04020	Membrane protein of unknown function	IPR007165	NULL
PF04021	Class III signal peptide	IPR007166	NULL
PF04022	Staphylocoagulase repeat	IPR001443	NULL
PF04023	FeoA domain	IPR007167	NULL
PF04024	PspC domain	IPR007168	NULL
PF04025	Domain of unknown function (DUF370)	IPR007169	NULL
PF04026	SpoVG	IPR007170	NULL
PF04027	Domain of unknown function (DUF371)	IPR007171	NULL
PF04028	Domain of unknown function (DUF374)	IPR007172	NULL
PF04029	2-phosphosulpholactate phosphatase	IPR005238	NULL
PF04030	D-arabinono-1,4-lactone oxidase 	IPR007173	NULL
PF04031	Las1-like 	IPR007174	NULL
PF04032	RNAse P Rpr2/Rpp21/SNM1 subunit domain	IPR007175	NULL
PF04033	Domain of unknown function (DUF365)	IPR007176	NULL
PF04034	Domain of unknown function (DUF367)	IPR007177	NULL
PF04036	Domain of unknown function (DUF372)	IPR007179	NULL
PF04037	Domain of unknown function (DUF382) 	IPR007180	NULL
PF04038	Domain of unknown function (DUF381)	IPR007181	NULL
PF04039	Domain related to MnhB subunit of Na+/H+ antiporter	IPR007182	NULL
PF04041	Domain of unknown function (DUF377)	IPR007184	NULL
PF04042	DNA polymerase alpha/epsilon subunit B	IPR007185	NULL
PF04043	Plant invertase/pectin methylesterase inhibitor	IPR006501	NULL
PF04045	Arp2/3 complex, 34 kD subunit p34-Arc	IPR007188	NULL
PF04046	PSP	IPR006568	NULL
PF04048	Sec8 exocyst complex component specific domain	IPR007191	NULL
PF04049	Anaphase promoting complex subunit 8 / Cdc23 	IPR007192	NULL
PF04050	Up-frameshift suppressor 2 	IPR007193	NULL
PF04051	Transport protein particle (TRAPP) component	IPR007194	NULL
PF04052	TolB amino-terminal domain	IPR007195	NULL
PF04053	Coatomer WD associated region 	IPR006692	NULL
PF04054	CCR4-Not complex component, Not1	IPR007196	NULL
PF04055	Radical SAM superfamily	IPR007197	NULL
PF04056	Ssl1-like	IPR007198	NULL
PF04057	Replication factor-A protein 1, N-terminal domain	IPR007199	NULL
PF04059	RNA recognition motif 2	IPR007201	NULL
PF04060	Putative Fe-S cluster	IPR007202	NULL
PF04061	ORMDL family 	IPR007203	NULL
PF04062	ARP2/3 complex ARPC3 (21 kDa) subunit	IPR007204	NULL
PF04063	Domain of unknown function (DUF383)	IPR007205	NULL
PF04064	Domain of unknown function (DUF384)	IPR007206	NULL
PF04065	Not1 N-terminal domain, CCR4-Not complex component 	IPR007207	NULL
PF04066	Multiple resistance and pH regulation protein F (MrpF / PhaF)	IPR007208	NULL
PF04068	Possible Fer4-like domain in RNase L inhibitor, RLI	IPR007209	NULL
PF04069	Substrate binding domain of ABC-type glycine betaine transport system	IPR007210	NULL
PF04070	Domain of unknown function (DUF378)	IPR007211	NULL
PF04071	Cysteine-rich small domain	IPR007212	NULL
PF04072	Leucine carboxyl methyltransferase	IPR007213	NULL
PF04073	YbaK / prolyl-tRNA synthetases associated domain	IPR007214	NULL
PF04074	Domain of unknown function (DUF386)	IPR004375	NULL
PF04075	Domain of unknown function (DUF385) 	IPR004378	NULL
PF04076	Bacterial OB fold (BOF) protein	IPR005220	NULL
PF04077	DsrH like protein	IPR007215	NULL
PF04078	Cell differentiation family, Rcd1-like 	IPR007216	NULL
PF04079	Putative transcriptional regulators (Ypuh-like)	IPR005234	NULL
PF04080	Per1-like 	IPR007217	NULL
PF04081	DNA polymerase delta, subunit 4 	IPR007218	NULL
PF04082	Fungal specific transcription factor domain 	IPR007219	NULL
PF04083	Partial alpha/beta-hydrolase lipase region	IPR006693	NULL
PF04084	Origin recognition complex subunit 2 	IPR007220	NULL
PF04085	rod shape-determining protein MreC	IPR007221	NULL
PF04086	Signal recognition particle, alpha subunit, N-terminal	IPR007222	NULL
PF04087	Domain of unknown function (DUF389) 	IPR005240	NULL
PF04088	Peroxin 13, N-terminal region	IPR007223	NULL
PF04089	BRICHOS domain	IPR007084	NULL
PF04090	RNA polymerase I specific initiation factor	IPR007224	NULL
PF04091	Exocyst complex subunit Sec15-like 	IPR007225	NULL
PF04092	SRS domain	IPR007226	NULL
PF04093	rod shape-determining protein MreD	IPR007227	NULL
PF04094	Protein of unknown function (DUF390)	IPR007228	NULL
PF04095	Nicotinate phosphoribosyltransferase (NAPRTase) family	IPR015977	NULL
PF04096	Nucleoporin autopeptidase	IPR007230	NULL
PF04097	Nup93/Nic96	IPR007231	NULL
PF04098	Rad52/22 family double-strand break repair protein	IPR007232	NULL
PF04099	Sybindin-like family 	IPR007233	NULL
PF04100	Vps53-like, N-terminal 	IPR007234	NULL
PF04101	Glycosyltransferase family 28 C-terminal domain	IPR007235	NULL
PF04102	SlyX	IPR007236	NULL
PF04103	CD20-like family	IPR007237	NULL
PF04104	Eukaryotic and archaeal DNA primase, large subunit	IPR007238	NULL
PF04106	Autophagy protein Apg5 	IPR007239	NULL
PF04107	Glutamate-cysteine ligase family 2(GCS2)	IPR006336	NULL
PF04108	Autophagy protein Apg17 	IPR007240	NULL
PF04109	Autophagy protein Apg9 	IPR007241	NULL
PF04110	Ubiquitin-like autophagy protein Apg12 	IPR007242	NULL
PF04111	Autophagy protein Apg6	IPR007243	NULL
PF04112	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase	IPR007244	NULL
PF04113	Gpi16 subunit, GPI transamidase component	IPR007245	NULL
PF04114	Gaa1-like, GPI transamidase component 	IPR007246	NULL
PF04115	Ureidoglycolate hydrolase 	IPR007247	NULL
PF04116	Fatty acid hydroxylase superfamily	IPR006694	NULL
PF04117	Mpv17 / PMP22 family 	IPR007248	NULL
PF04118	Dopey, N-terminal	IPR007249	NULL
PF04119	Heat shock protein 9/12	IPR007250	NULL
PF04120	Low affinity iron permease 	IPR007251	NULL
PF04121	Nuclear pore protein 84 / 107 	IPR007252	NULL
PF04122	Putative cell wall binding repeat 2	IPR007253	NULL
PF04123	Domain of unknown function (DUF373)	IPR007254	NULL
PF04124	Dor1-like family 	IPR007255	NULL
PF04126	Cyclophilin-like	IPR025658	NULL
PF04127	DNA / pantothenate metabolism flavoprotein	IPR007085	NULL
PF04129	Vps52 / Sac2 family 	IPR007258	NULL
PF04130	Spc97 / Spc98 family	IPR007259	NULL
PF04131	Putative N-acetylmannosamine-6-phosphate epimerase	IPR007260	NULL
PF04133	Vacuolar protein sorting 55 	IPR007262	NULL
PF04134	Protein of unknown function, DUF393	IPR007263	NULL
PF04135	Nucleolar RNA-binding protein, Nop10p family	IPR007264	NULL
PF04136	Sec34-like family 	IPR007265	NULL
PF04137	Endoplasmic Reticulum Oxidoreductin 1 (ERO1)	IPR007266	NULL
PF04138	GtrA-like protein	IPR007267	NULL
PF04139	Rad9	IPR007268	NULL
PF04140	Isoprenylcysteine carboxyl methyltransferase (ICMT) family 	IPR007269	NULL
PF04142	Nucleotide-sugar transporter	IPR007271	NULL
PF04143	Sulphur transport	IPR007272	NULL
PF04144	SCAMP family	IPR007273	NULL
PF04145	Ctr copper transporter family	IPR007274	NULL
PF04146	YT521-B-like domain	IPR007275	NULL
PF04147	Nop14-like family 	IPR007276	NULL
PF04148	Transmembrane adaptor Erv26	IPR007277	NULL
PF04149	Domain of unknown function (DUF397)	IPR007278	NULL
PF04151	Bacterial pre-peptidase C-terminal domain	IPR007280	NULL
PF04152	Mre11 DNA-binding presumed domain 	IPR007281	NULL
PF04153	NOT2 / NOT3 / NOT5 family	IPR007282	NULL
PF04155	Ground-like domain	IPR007284	NULL
PF04156	IncA protein	IPR007285	NULL
PF04157	EAP30/Vps36 family	IPR007286	NULL
PF04158	Sof1-like domain 	IPR007287	NULL
PF04159	NB glycoprotein	IPR007288	NULL
PF04160	Orf-X protein	IPR007289	NULL
PF04161	Arv1-like family 	IPR007290	NULL
PF04162	Gyrovirus capsid protein (VP1)	IPR007291	NULL
PF04163	Tht1-like nuclear fusion protein 	IPR007292	NULL
PF04164	dead pfamnumber	NULL	NULL
PF04165	Protein of unknown function (DUF401) 	IPR007294	NULL
PF04166	Pyridoxal phosphate biosynthetic protein PdxA	IPR005255	NULL
PF04167	Protein of unknown function (DUF402)	IPR007295	NULL
PF04168	A predicted alpha-helical domain with a conserved ER motif.	IPR007296	NULL
PF04169	dead pfamnumber	NULL	NULL
PF04170	NlpE N-terminal domain	IPR007298	NULL
PF04172	LrgB-like family 	IPR007300	NULL
PF04173	TQO small subunit DoxD	IPR007301	NULL
PF04174	A circularly permuted ATPgrasp 	IPR007302	NULL
PF04175	Protein of unknown function (DUF406) 	IPR005272	NULL
PF04176	TIP41-like family 	IPR007303	NULL
PF04177	TAP42-like family	IPR007304	NULL
PF04178	Got1/Sft2-like family 	IPR007305	NULL
PF04179	Initiator tRNA phosphoribosyl transferase 	IPR007306	NULL
PF04180	Low temperature viability protein 	IPR007307	NULL
PF04181	Rtr1/RPAP2 family	IPR007308	NULL
PF04182	B-block binding subunit of TFIIIC	IPR007309	NULL
PF04183	IucA / IucC family	IPR007310	NULL
PF04184	ST7 protein	IPR007311	NULL
PF04185	Phosphoesterase family	IPR007312	NULL
PF04186	FxsA cytoplasmic membrane protein 	IPR007313	NULL
PF04187	Protein of unknown function, DUF399	IPR007314	NULL
PF04188	Mannosyltransferase (PIG-V))	IPR007315	NULL
PF04189	Gcd10p family	IPR007316	NULL
PF04190	Protein of unknown function (DUF410) 	IPR007317	NULL
PF04191	Phospholipid methyltransferase 	IPR007318	NULL
PF04192	Utp21 specific WD40 associated putative domain 	IPR007319	NULL
PF04193	PQ loop repeat 	NULL	NULL
PF04194	Programmed cell death protein 2, C-terminal putative domain 	IPR007320	NULL
PF04195	Putative gypsy type transposon	IPR007321	NULL
PF04196	Bunyavirus RNA dependent RNA polymerase	IPR007322	NULL
PF04197	Birnavirus RNA dependent RNA polymerase (VP1)	IPR007100	NULL
PF04198	Putative sugar-binding domain	IPR007324	NULL
PF04199	Putative cyclase	IPR007325	NULL
PF04200	Lipoprotein associated domain	IPR007326	NULL
PF04201	Tumour protein D52 family	IPR007327	NULL
PF04202	Foot protein 3	IPR007328	NULL
PF04203	Sortase family	IPR005754	NULL
PF04204	Homoserine O-succinyltransferase 	IPR005697	NULL
PF04205	FMN-binding domain	IPR007329	NULL
PF04206	Tetrahydromethanopterin S-methyltransferase, subunit E 	IPR005780	NULL
PF04207	Tetrahydromethanopterin S-methyltransferase, subunit D 	IPR005779	NULL
PF04208	Tetrahydromethanopterin S-methyltransferase, subunit A 	IPR005778	NULL
PF04209	homogentisate 1,2-dioxygenase	IPR005708	NULL
PF04210	Tetrahydromethanopterin S-methyltransferase, subunit G 	IPR005866	NULL
PF04211	Tetrahydromethanopterin S-methyltransferase, subunit C 	IPR005865	NULL
PF04212	MIT (microtubule interacting and transport) domain	IPR007330	NULL
PF04213	Htaa	IPR007331	NULL
PF04214	Protein of unknown function, DUF	IPR007332	NULL
PF04216	Protein involved in formate dehydrogenase formation	IPR006452	NULL
PF04217	Protein of unknown function, DUF412	IPR007334	NULL
PF04218	CENP-B N-terminal DNA-binding domain	IPR006695	NULL
PF04219	Protein of unknown function, DUF	IPR007335	NULL
PF04220	Der GTPase activator (YihI)	IPR007336	NULL
PF04221	RelB antitoxin	IPR007337	NULL
PF04222	Protein of unknown function (DUF416)	IPR007338	NULL
PF04223	Citrate lyase, alpha subunit (CitF)	IPR006472	NULL
PF04224	Protein of unknown function, DUF417	IPR007339	NULL
PF04225	Opacity-associated protein A LysM-like domain	IPR007340	NULL
PF04226	Transglycosylase associated protein	IPR007341	NULL
PF04227	Indigoidine synthase A like protein	IPR007342	NULL
PF04228	Putative neutral zinc metallopeptidase	IPR007343	NULL
PF04229	Uncharacterised protein family (UPF0157)	IPR007344	NULL
PF04230	Polysaccharide pyruvyl transferase	IPR007345	NULL
PF04231	Endonuclease I	IPR007346	NULL
PF04232	Stage V sporulation protein S (SpoVS)	IPR007347	NULL
PF04233	Phage Mu protein F like protein	IPR006528	NULL
PF04234	CopC domain	IPR007348	NULL
PF04235	Protein of unknown function (DUF418)	IPR007349	NULL
